Player,Position,Age,Minutes,Goals,Assists,PK,PKatt,Shots,SoT,CrdY,CrdR,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Accuracy,Prog_Passes,Carries,Prog_Carries,Take_Ons_Att,Take_Ons_Succ,SofaScore_Rating
Leandro Trossard,Forward,30,90,1,0,0,0,2,1,0,0,49,1,1,0,0.2,0.2,0.1,5,3,31,36,86.1,3,26,3,2,1,7.8
Ethan Nwaneri,Forward,17,70,1,0,0,0,4,2,0,0,20,0,0,1,0.4,0.4,0.0,2,0,7,12,58.3,1,13,3,1,1,7.8
Raheem Sterling,Forward,30,20,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,1,0,6.3
Declan Rice,Midfielder,26,90,0,1,0,0,1,0,0,0,47,0,1,1,0.0,0.0,0.3,4,2,35,39,89.7,6,18,0,1,1,7.9
Thomas Partey,Midfielder,31,70,0,0,0,0,0,0,1,0,46,0,1,1,0.0,0.0,0.0,1,0,38,41,92.7,2,24,1,0,0,6.3
Oleksandr Zinchenko,Midfielder,28,20,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,7,10,70.0,0,8,0,0,0,6.7
Martin Ødegaard,Midfielder,26,90,2,1,0,0,2,2,0,0,51,0,0,0,0.4,0.4,0.6,4,1,37,44,84.1,1,35,9,4,1,9.2
Myles Lewis-Skelly,Defender,18,34,0,0,0,0,0,0,1,0,25,0,0,0,0.0,0.0,0.0,0,0,19,21,90.5,3,14,0,1,0,6.7
Riccardo Calafiori,Defender,22,56,1,1,0,0,1,1,0,0,37,1,2,1,0.4,0.4,0.2,1,1,25,30,83.3,1,12,2,1,0,8.3
Gabriel Magalhães,Defender,27,90,0,0,0,0,1,0,0,0,65,0,1,2,0.2,0.2,0.0,3,2,42,53,79.2,6,24,1,1,1,7.3
William Saliba,Defender,23,90,0,0,0,0,0,0,0,0,56,2,4,1,0.0,0.0,0.0,0,0,41,44,93.2,2,26,0,0,0,7.3
Jurriën Timber,Defender,23,76,1,0,0,0,2,1,1,0,27,2,1,1,0.2,0.2,0.0,3,2,8,16,50.0,3,6,1,3,2,7.6
Ben White,Defender,27,14,0,0,0,0,0,0,0,0,9,0,0,2,0.0,0.0,0.0,0,0,5,5,100.0,1,0,0,0,0,6.8
Luuk de Jong,Forward,34,120,0,1,0,0,2,0,0,0,51,3,0,1,0.1,0.1,0.6,5,0,31,38,81.6,1,22,0,0,0,8.2
Noa Lang,Forward,25,114,0,1,0,0,6,2,0,0,77,1,0,3,0.5,0.5,0.3,6,2,39,47,83.0,13,52,12,10,4,8.0
Ivan Perišić,Forward,36,84,1,0,0,0,6,3,0,0,61,3,4,0,0.3,0.3,0.1,7,1,29,45,64.4,2,32,1,1,0,8.1
Johan Bakayoko,Forward,21,36,0,0,0,0,1,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,14,20,70.0,1,16,3,2,1,6.6
Ismael Saibari,Midfielder,24,120,1,0,0,0,5,3,0,0,76,3,0,2,1.1,1.1,0.8,8,0,41,52,78.8,6,50,5,0,0,7.6
Joey Veerman,Midfielder,26,115,0,0,0,0,1,0,0,0,76,0,2,1,0.1,0.1,0.2,9,1,51,68,75.0,11,29,0,0,0,7.1
Jerdy Schouten,Midfielder,28,71,0,0,0,0,0,0,1,0,52,1,1,0,0.0,0.0,0.0,2,0,40,46,87.0,10,30,0,2,1,6.6
Guus Til,Midfielder,27,49,0,0,0,0,1,1,0,0,35,2,0,0,0.6,0.6,0.4,1,0,22,30,73.3,2,16,0,0,0,6.9
Mauro Júnior,Defender,25,120,0,0,0,0,0,0,0,0,82,0,1,0,0.0,0.0,0.0,4,1,62,72,86.1,11,44,2,7,3,6.8
Olivier Boscagli,Defender,27,104,0,0,0,0,2,0,0,0,98,2,1,2,0.1,0.1,0.0,0,0,76,85,89.4,5,57,1,0,0,7.7
Armando Obispo,Defender,25,16,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,6.7
Ryan Flamingo,Defender,22,120,1,0,0,0,1,1,0,0,104,4,5,0,0.6,0.6,0.0,2,0,69,78,88.5,5,60,0,2,1,8.3
Richy Ledezma,Defender,24,77,0,0,0,0,0,0,0,0,67,1,0,0,0.0,0.0,0.0,2,1,56,62,90.3,7,32,1,0,0,6.9
Tyrell Malacia,Defender,25,43,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.2,1,0,16,22,72.7,3,16,1,0,0,6.9
